YYYY-MM,Rep. index (%),SLE (m a.s.l.),Err. index (%),Snow cover (%),Snow covered below - north (%),Snow covered below - south (%),Snow free above - north (%),Snow free above - south (%),Mean snow depth (cm),Mean SWE (mm)
2020-06,97.8836646366498,2337,4.979006111434241,8.147046496510196,,,,,3.1554336547851562,14.340039253234863
2020-07,99.09451125632954,2745,2.02871731248717,1.9959456685370192,,,,,,
2020-08,99.69870500889559,2961,0.6636894563325407,0.7421180032845217,,,,,,
2020-09,99.98941511564253,2899,1.0448041983500411,1.0046017517449022,,,,,,
2020-10,99.97765413302314,2181,6.308511423121664,11.599322567401122,,,,,4.611746311187744,9.147107124328613
2020-11,100.0,2226,7.525305625171069,10.547356131107158,,,,,4.360296249389648,13.407651901245117
2020-12,99.51416449979472,1831,11.750945155330504,23.066387539345833,,,,,45.03350067138672,102.87569427490234
2021-01,98.73152456548515,1293,21.36857101922814,43.56300037635145,,,,,63.94487380981445,173.03172302246094
2021-02,100.0,1491,12.497551577254688,35.8036386341864,,,,,63.02611541748047,205.0738983154297
2021-03,100.0,1686,8.694314152952648,28.495257116463662,,,,,35.9610481262207,158.00106811523438
2021-04,100.0,1760,8.893203862734364,25.77397957438073,,,,,22.818998336791992,105.45767211914062
2021-05,98.1146075680854,1965,7.313355611485561,18.166869098125087,,,,,16.09479522705078,73.80097961425781
2021-06,97.13887368276994,2354,5.372865381654577,7.801273607499658,,,,,5.181699275970459,25.948591232299805
2021-07,96.8088177432599,2762,1.8620112643483986,1.8504302381278228,,,,,,
2021-08,99.79771109894622,2971,0.6215382616840016,0.7006338100451622,,,,,,
2021-09,99.94515105378404,2895,0.8177726957562097,1.023419323935952,,,,,,
2021-10,100.0,2502,5.57332277696045,5.099668981798276,,,,,0.37110230326652527,0.7844695448875427
2021-11,100.0,1850,9.723963857431231,22.361263172300532,,,,,15.761757850646973,33.15528869628906
2021-12,99.99978616395238,1599,16.51542987460654,31.702049404680444,,,,,21.895116806030273,57.28804016113281
2022-01,100.0,1920,9.4267739838511,19.771922471602572,,,,,16.81331443786621,54.34130859375
2022-02,100.0,1884,12.274502938107295,21.10925311345285,,,,,15.360918045043945,53.13845443725586
2022-03,100.0,2015,11.77916563312577,16.463344224716025,,,,,8.105650901794434,36.7558708190918
2022-04,100.0,1998,10.643739522033666,17.01910411249487,,,,,6.135018348693848,18.836462020874023
2022-05,99.3433094977419,2181,7.668592082078829,11.599322567401122,,,,,3.030468463897705,12.112112998962402
2022-06,99.9422642671411,2703,3.167940550371219,2.403624093335158,,,,,0.19782891869544983,1.109254002571106
2022-07,99.98855977145203,3030,0.5333905489545555,0.5193008416586834,,,,,,
2022-08,99.96407554399892,3080,0.4130307076583242,0.4005149172026824,,,,,,
2022-09,100.0,3003,0.6092146229642807,0.6016277199945258,,,,,,
2022-10,100.0,2786,1.62930024291775,1.6589400574791295,,,,,,
2022-11,99.67764215820446,2058,11.168339220952511,15.077258964007118,,,,,,
2022-12,99.99433334473792,1752,9.405889151669632,26.06105446831805,,,,,,
2023-01,100.0,1652,14.222139835944983,29.74234894621596,,,,,,
2023-02,100.0,1817,9.535148231148215,23.58814749555221,,,,,,
2023-03,99.98022016559463,1939,9.97733872485288,19.094596790748597,,,,,,
2023-04,99.99807547557137,1979,9.034651596927603,17.681033597919804,,,,,,
2023-05,92.49895220336664,1982,5.265947625136856,17.575077836321334,,,,,,
2023-06,99.3985861160531,2488,4.372433299190845,5.324945257971808,,,,,,
