YYYY-MM,Rep. index (%),SLE (m a.s.l.),Err. index (%),Snow cover (%),Snow covered below - north (%),Snow covered below - south (%),Snow free above - north (%),Snow free above - south (%),Mean snow depth (cm),Mean SWE (mm)
2016-10,94.6721023620845,2593,5.126192875574489,8.675308811628724,,,,,,
2016-11,94.76872337501717,2060,12.636765455850243,26.732139312598292,,,,,,
2016-12,100.0,2141,8.795609607133587,23.535461805078405,,,,,,
2017-01,97.76965477226574,2033,12.907298184538805,27.79497045485777,,,,,,
2017-02,99.29708518467622,1866,16.014853495793442,34.554960072068766,,,,,,
2017-03,99.56050264913807,1799,12.783033912021132,37.1905394469638,,,,,,
2017-04,75.39254576825005,1964,10.862545920938114,30.554837921609945,,,,,,
2017-05,93.08646725604262,2071,9.59930313163239,26.2923365855893,,,,,,
2017-06,84.23025361489013,2544,7.746215931473594,10.007664941291436,,,,,,
2017-07,98.81764463377766,2911,2.494403600384774,2.6911578336616127,,,,,,
2017-08,98.03172858168048,2920,2.484287404760814,2.59050585558762,,,,,,
2017-09,93.83066892645016,2672,4.132250011451606,6.726092864886324,,,,,,
2017-10,100.0,2805,3.759447116485731,4.167529354282137,,,,,0.11745273321866989,0.1572418063879013
2017-11,99.9774632403463,2219,16.20243384789214,20.58100865741377,,,,,12.258109092712402,24.3801326751709
2017-12,97.27213595346068,1635,14.781259065854366,43.3799642709908,,,,,32.50202941894531,69.57192993164062
2018-01,98.9070587696395,1498,16.714231444581866,48.51303192707618,,,,,52.498756408691406,137.41354370117188
2018-02,99.70598384560182,1647,14.292594323057425,42.93106133479914,,,,,47.52237319946289,154.9342803955078
2018-03,99.48092162521186,1532,14.124135403783612,47.25298886903944,,,,,49.50365447998047,170.79220581054688
2018-04,99.63678561067594,1705,8.618250194677294,40.733941031866,,,,,40.71918869018555,154.75025939941406
2018-05,49.33315010764509,1865,3.0252659062800604,34.59380391797597,,,,,8.725739479064941,39.121524810791016
2018-06,89.3702227718993,2500,8.798001923869728,11.2506069350923,,,,,0.5744231939315796,2.9257571697235107
2018-07,98.65628387766631,2808,4.169958468843999,4.120196051486418,,,,,,
2018-08,86.66446795840777,2847,2.725513871711481,3.5296596582840913,,,,,,
2018-09,96.89298092925962,2838,2.9437410104896706,3.664269463912174,,,,,,
2018-10,99.93190111920359,2816,4.947008229887164,3.991999144946788,,,,,3.271191120147705,4.890607833862305
2018-11,75.33519612783046,1896,10.32124837768922,33.33003527094498,,,,,24.03536033630371,60.827091217041016
2018-12,100.0,1894,10.461521078588552,33.41694532240086,,,,,26.00449562072754,73.954833984375
2019-01,99.23710930939184,1925,11.842108316919365,32.159650649687755,,,,,26.687427520751953,81.95728302001953
2019-02,99.97098926602843,1576,17.767049302978947,45.61953185836654,,,,,39.27691650390625,116.7611083984375
2019-03,99.99358710091155,1855,13.625047562334904,34.98657871833631,,,,,28.44420051574707,110.08146667480469
2019-04,88.31563678561068,1790,7.699451849816011,37.53640847113432,,,,,31.992177963256836,118.21773529052734
2019-05,45.22730673507092,1887,5.019450170247201,33.70021223642221,,,,,24.95536994934082,108.14168548583984
2019-06,99.12967798085292,2352,7.849430320797643,15.833020322782588,,,,,6.113047122955322,30.024629592895508
2019-07,99.94973508619242,2693,5.832377200616859,6.2644252057471785,,,,,,
2019-08,92.84937321545814,2778,3.436257157253447,4.615027560197273,,,,,,
2019-09,98.67491182263754,2564,9.412274899607592,9.449315193990197,,,,,,
2019-10,95.20693814606142,2653,6.061882338570534,7.1600323698715895,,,,,1.1312633752822876,2.198331594467163
2019-11,97.48046356099125,1531,8.29978623669705,47.290916586505425,,,,,41.353797912597656,83.77549743652344
2019-12,95.90655489899684,1762,12.193359901058127,38.590200479440554,,,,,58.90282440185547,167.73497009277344
2020-01,100.0,1837,11.456619180675798,35.72687157406135,,,,,55.43560791015625,188.04830932617188
2020-02,100.0,1777,10.079526361595894,38.022933748644896,,,,,50.150028228759766,190.5142059326172
2020-03,99.77023498694517,1719,11.62724871360298,40.20661750110699,,,,,54.168174743652344,206.83456420898438
2020-04,99.94692562563938,1875,10.968734368558474,34.19528804605072,,,,,29.9385929107666,138.30873107910156
2020-05,98.10966057441253,2198,10.784358633747118,21.351289450781,,,,,9.7772216796875,47.037113189697266
2020-06,88.56207533629549,2306,9.312796787442933,17.43911563067809,,,,,3.9279189109802246,17.335979461669922
2020-07,97.99777075412639,2786,3.8804588276609717,4.4791351747515,,,,,,
2020-08,96.65210022445146,2814,3.615441955628846,4.023391812865497,,,,,,
2020-09,98.68065289420244,2719,5.730875360725573,5.724214801581849,,,,,,
2020-10,99.95798024216327,2120,10.409720733513504,24.361076756294565,,,,,7.244454383850098,14.331021308898926
2020-11,100.0,2282,11.874296795077338,18.29490174522468,,,,,8.223714828491211,24.458269119262695
2020-12,98.34498343334403,1964,14.925567007161073,30.554837921609945,,,,,51.56435012817383,116.45679473876953
2021-01,60.468752385751145,1294,12.865205136426795,56.20270868642451,,,,,69.34325408935547,184.11029052734375
2021-02,99.8242865649764,1480,15.204746766830043,49.17093429832195,,,,,72.80178833007812,229.50564575195312
2021-03,99.8696654604309,1661,11.372447131754537,42.40850167193441,,,,,43.88201141357422,185.89309692382812
2021-04,91.49588505641825,1801,11.766227230391033,37.11285175514941,,,,,26.59984016418457,123.50440979003906
2021-05,81.5875284381537,2007,7.775088940802834,28.827630433786815,,,,,21.61766815185547,99.71697235107422
2021-06,93.09397950926052,2339,9.454430244453606,16.27361702777396,,,,,5.938315391540527,30.605791091918945
