YYYY-MM,Rep. index (%),SLE (m a.s.l.),Err. index (%),Snow cover (%),Snow covered below - north (%),Snow covered below - south (%),Snow free above - north (%),Snow free above - south (%),Mean snow depth (cm),Mean SWE (mm)
2016-10,66.17021541062262,2184,1.6018784726106572,8.274353333084735,,,,,,
2016-11,99.72977340244373,1992,10.182613951349268,12.60891722912083,,,,,,
2016-12,100.0,1845,7.085428708157761,16.788852842102646,,,,,,
2017-01,100.0,1608,8.56462442977713,25.43560676685187,,,,,,
2017-02,97.5699494102,1561,10.22712116692148,27.410473455892408,,,,,,
2017-03,100.0,1596,7.69133820586444,25.93330101552498,,,,,,
2017-04,93.32214639967185,1752,7.351816012231048,19.89310263390138,,,,,,
2017-05,90.98407726442183,1810,6.873347752047831,17.917241550757605,,,,,,
2017-06,92.71084262470323,2169,4.886670302420107,8.598277212216132,,,,,,
2017-07,99.00336851002474,2861,0.8388453064598327,1.1502653789263029,,,,,,
2017-08,99.98284670171907,3082,0.4541400005904215,0.676187990205218,,,,,,
2017-09,99.99975140147419,3025,0.44676330545922355,0.7597170948776274,,,,,,
2017-10,100.0,2785,1.7471630246982635,1.401598488520963,,,,,0.008484207093715668,0.00930625107139349
2017-11,100.0,2153,10.068478017675355,8.938359995525227,,,,,4.8838677406311035,9.76422119140625
2017-12,100.0,1297,23.95315906576674,39.624864824551594,,,,,24.033105850219727,46.341758728027344
2018-01,99.13960050216902,1208,13.313046450634547,43.91915575940635,,,,,59.19322204589844,149.45565795898438
2018-02,99.82001466731302,1438,9.210054878124572,32.92115697753913,,,,,61.97924041748047,201.86448669433594
2018-03,99.81777728058073,1303,9.57533964773589,39.32704379063032,,,,,61.17985534667969,218.7761688232422
2018-04,94.60715217958757,1532,5.501104709699072,28.655952070204222,,,,,57.477699279785156,218.71755981445312
2018-05,76.29240158605859,1823,5.385429640402233,17.485425911424347,,,,,18.795101165771484,82.64642333984375
2018-06,94.10846353681123,2252,4.322942381076681,6.883444581173634,,,,,3.374976396560669,15.79163932800293
2018-07,98.73612509477819,2682,1.421863075039465,1.8189954133571988,,,,,,
2018-08,99.70019017787224,3012,0.5763563768629352,0.782090962200594,,,,,,
2018-09,100.0,3016,0.5056642979888379,0.7756274005295148,,,,,,
2018-10,99.94854010515718,2505,2.3415382499906774,3.0786441436402283,,,,,1.9323649406433105,3.03145694732666
2018-11,97.940361213658,1611,8.724371356477857,25.305092540801233,,,,,29.197389602661133,72.96572875976562
2018-12,100.0,1661,10.267253048439423,23.255397695491666,,,,,31.0362606048584,93.15267944335938
2019-01,100.0,1766,9.343639917465289,19.415544865818944,,,,,29.893190383911133,100.49018859863281
2019-02,100.0,1633,13.860133497408361,24.404420081788917,,,,,37.02885818481445,121.7582015991211
2019-03,100.0,1781,10.540755242321412,18.89796273508098,,,,,26.098360061645508,108.046142578125
2019-04,99.99801121179351,1505,10.9326217200532,29.85693154839592,,,,,33.2095832824707,120.93207550048828
2019-05,99.63381437148078,1854,6.152510223614374,16.504207530049346,,,,,22.601770401000977,99.15670776367188
2019-06,99.48788703682987,2318,4.532968825744863,5.629762215510062,,,,,8.695789337158203,41.754085540771484
2019-07,99.63232278032591,2620,2.1715506954543757,2.174242706740749,,,,,,
